ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
LVGO,"Livongo Health, Inc.",2020-08-05 0:00,TNS,0.01,0.11,900,EDT,0,EQUITY
RACE,Ferrari N.V.,2020-08-03 0:00,TNS,0.09,0.04,-53.49,EDT,0,EQUITY
JMIA,Jumia Technologies AG,2020-08-12 0:00,TNS,-0.6,,,EDT,0,EQUITY
DOCU,"DocuSign, Inc.",2020-09-03 0:00,TNS,0.08,0.17,117.95,EDT,0,EQUITY
PINS,"Pinterest, Inc.",2020-07-31 0:00,TNS,-0.13,-0.07,48.15,EDT,0,EQUITY
KSS,Kohl's Corporation,2020-08-18 0:00,TNS,-0.83,-0.25,69.88,EDT,0,EQUITY
RUN,Sunrun Inc.,2020-08-10 0:00,TNS,0.16,-0.11,-168.75,EDT,0,EQUITY
TWTR,"Twitter, Inc.",2020-07-23 0:00,TNS,0,-1.39,-69400,EDT,0,EQUITY
CSCO,"Cisco Systems, Inc.",2020-08-12 0:00,TNS,0.74,0.8,8.4,EDT,0,EQUITY
TTC,The Toro Company,2020-09-03 0:00,TNS,0.55,0.82,49.64,EDT,0,EQUITY
NBL,"Noble Energy, Inc.",2020-08-03 0:00,TNS,-0.34,-0.24,29.82,EDT,0,EQUITY
INO,"Inovio Pharmaceuticals, Inc.",2020-08-10 0:00,TNS,-0.17,-0.83,-391.12,EDT,0,EQUITY
TWLO,Twilio Inc.,2020-08-04 0:00,TNS,-0.09,0.09,201.12,EDT,0,EQUITY
DAL,"Delta Air Lines, Inc.",2020-07-14 0:00,TNS,-4.07,-4.43,-8.82,EDT,0,EQUITY
MARK,"Remark Holdings, Inc.",2020-08-14 0:00,TNS,-0.05,-0.11,-120,EDT,0,EQUITY
MELI,"MercadoLibre, Inc.",2020-08-10 0:00,TNS,0.09,1.11,1119.78,EDT,0,EQUITY
DDOG,"Datadog, Inc.",2020-08-06 0:00,TNS,0.01,0.05,525,EDT,0,EQUITY
SMPL,The Simply Good Foods Company,2020-07-08 0:00,TNS,0.15,0.26,68.83,EDT,0,EQUITY
SPWH,"Sportsman's Warehouse Holdings, Inc.",2020-09-02 0:00,TNS,0.29,0.76,159.39,EDT,0,EQUITY
GOCO,"GoHealth, Inc.",2020-08-19 0:00,TNS,-0.04,-0.07,-75,EDT,0,EQUITY
DKNG,DraftKings Inc.,2020-08-14 0:00,TNS,-0.2,-0.4,-101.01,EDT,0,EQUITY
FLIR,"FLIR Systems, Inc.",2020-08-06 0:00,TNS,0.52,0.64,23.55,EDT,0,EQUITY
